dummy,value
PK26018,VEST01
P115358,VEST01
P115357,VEST01
PK25083,sjol01
PK25095,VEST01
PK25141,VEST01
PK25154,VEST01
PK25219,sjol01
PK27701,VEST01
PK25380,VEST01
PK25445,sjol01
PK25389,VEST01
PK25442,VEST01
PK25444,VEST01
PK25501,sjol01
PK25593,VEST01
PK25598,VEST01
PK25590,VEST01
PK27616,VEST01
PK25646,VEST01
PK25647,VEST01
PK25694,VEST01
PK27474,VEST01
PK27381,sjol01
PK27888,VEST01
PK27276,VEST01
PK27267,VEST01
PK27271,VEST01
PK27255,sjol01
PK27258,sjol01
P117866,VEST01
P117865,VEST01
P118369,VEST05
PK27144,VEST01
PK27057,VEST01
PK27085,VEST01
PK27043,VEST01
PK26320,VEST01
PK26187,VEST01
PK26909,sjol01
PK26279,VEST01
PK27778,sjol01
PK25916,sjol01
PK26002,sjol01
PK26008,VEST01
PK26040,VEST01
PK28083,VEST01
PK28349,VEST01
PK28260,VEST01
PK28304,VEST01
PK27825,sjol01
PK28277,sjol01
PK28296,sjol01
P118844,VEST05
PK28035,VEST01
PK28034,VEST01
PK28016,sjol01
PK27984,VEST01
PK27757,VEST01
P118288,VEST01
PK27685,VEST01
40158,FRON01
4503800596,VEST02
4503809544,VEST02
4503827000,VEST02
4503882133,VEST02
4503891788,VEST02
4503905905,VEST02
4503814264,vest04
4503880897,vest04
210156988700001.0,HYST01
210156988700002.0,HYST01
210156931400001.0,HYST01
210156988800001.0,HYST01
210156988800002.0,HYST01
210156988900002.0,HYST01
210154770500001.0,HYST01
210155079000001.0,HYST01
210155078800002.0,HYST01
210155079000003.0,HYST01
210155079000002.0,HYST01
210155324500001.0,HYST01
210155324600001.0,HYST01
210155078900001.0,HYST01
210155078900002.0,HYST01
210156931500001.0,HYST01
210155079000004.0,HYST01
210155631200001.0,HYST01
210155631300001.0,HYST01
210155677600001.0,HYST01
210155994500001.0,HYST01
210156342900001.0,HYST01
210156005400001.0,HYST01
210155994600001.0,HYST01
210155994700001.0,HYST01
210156284200002.0,HYST01
210156284200001.0,HYST01
210156343100001.0,HYST01
210156343000001.0,HYST01
210156598500001.0,HYST01
210156343100002.0,HYST01
210157247300001.0,HYST01
210156651000001.0,HYST01
210156988600001.0,HYST01
210156651100001.0,HYST01
210156651100002.0,HYST01
210154499900001.0,HYST01
210153877800001.0,HYST01
210154500000001.0,HYST01
210154218200001.0,HYST01
210154500100001.0,HYST01
210155078800001.0,HYST01
210154218500001.0,HYST01
210157123200001.0,HYST01
210154218500002.0,HYST01
210157301600001.0,HYST01
210157301600002.0,HYST01
210157301800001.0,HYST01
210156988900001.0,HYST01
